Text,True_Label,Predicted_Label
kama sii hawa wazungu walileta hii masomo sai ningalikuwa ngombe mia hamsini bibi wanne watoto wote,Neither,Offensive
kikuyu kalenjins main topic okoawakora okei isorait,Offensive,Neither
waiting hear maasai getting lion medium wount stop,Offensive,Neither
tribal abeg abeg username_ luo luhyas love funeral luo worst thats see professional mourner kisumu,Offensive,Neither
kikuyus paid demonstrate rigging election noreformsnoelections,Hate Speech,Neither
know work destroy peaceyour word meant nothing voice ooh thirsty blood arrestkimaningunjiri,Offensive,Neither
wrongful arrest illegal detention torture cyprian nyakundi relative reveals official still suffering nasty moiera hangover freenyakundikins,Offensive,Neither
uhuruto cord stronghold madness happenwhy threaten username_ life nakuru arrestkimaningunjiri username_,Neither,Offensive
wakideclare tunadeclare wakiswear tunaswear wakipigana tunapigana railapresser,Offensive,Neither
kikuyus kalenjins constituted uhuruto vote cry foul less half cabinet really,Offensive,Neither
think kikuyus businessmen,Offensive,Neither
cant keep treated like slave country noreformsnoelections,Offensive,Neither
kikuyus worst tribalistswho think kenya bequeathed god kenyatta username_ username_,Hate Speech,Neither
done prayer right massacre kisumu luolivesmatter,Hate Speech,Neither
ive always saying kikuyus steal beer crashed truck early christmas luo land wouldve looting accident scene cant hide behind nationalism tribalism blatantly shoved wrapped attractive foil,Hate Speech,Neither
give podium fading dying leadership get ear filled rhetoric speech full malice lordsofhate onekenya,Offensive,Neither
impoverish economy dirty politics come back beg cash poor kenyan railapresser expect,Offensive,Neither
uhuru preaches national unity two kikuyus control ministry youth gender username_ username_,Offensive,Neither
wachini nyakundi mufunge moses kuria,Offensive,Neither
username_ hawa mawatchmen waluhya huwa arrogant,Hate Speech,Neither
thug trained training school police one thug hardly shoot innocent accidentally luolivesmatter,Offensive,Neither
know arrogant one also abuse luhyas tell govt wil bring police kill try voting,Offensive,Neither
wow cant wait nyakundi response njoki point think username_,Offensive,Neither
sio hivyo baba unajua hii lugha inabadilika kila sikusounds like word borrowed maasai kale,Hate Speech,Neither
seen bos murkomen chased panafrica hotel tom oluoch mamake electionske electionsboycottke kenyapoll,Offensive,Neither
written username_ spoke nyakundi smoke,Offensive,Neither
plo muluka talking theft govt yet alone last year fighting uhuru rutos theft late comer,Offensive,Neither
kikuyus,Offensive,Neither
luo slave odingaspity,Hate Speech,Neither
right reveal kikuyus dangerous tribe east central africa,Hate Speech,Neither
weve spent sham election within span month nobody accountable care wembeniuleule sip,Offensive,Neither
truth told nyakundi spill bean ball kudos nyakundi,Offensive,Neither
sisi tunaona hawa wazungu kama biashara sababu wanaleta pesa mikataleyasamburu username_ kila mtu anatafuta hela siku hizi,Neither,Offensive
wtf taking youre stupid chase tail circle try win utter confusion,Offensive,Neither
barter trade iswait kenyan cheap username_ import electricity uganda import kalenjins kenya,Offensive,Neither
handshake shock kenyan year shebeshkidero johoruto passarismiguna tarusomtata bonifacemwangiezekielmutua nyakundi assorted ceo slayqueensteam mafisi mark tweet miguna,Offensive,Neither
warudi kwao wakafight username_ powerful baggas ssudan family safe hivyo ndio kunaendanga,Offensive,Neither
watching narcos episode wedding cake exploded nikakumbuka hawa mamadhe huchunga keki fujo kwa wedding wakikuyu,Hate Speech,Neither
luhya leader jubilee electorate remain corded luhyas always opposition govt rule,Hate Speech,Neither
kikuyus sorted till there void lacuna vacuum whoever bewitched long dead,Offensive,Neither
username__ aja ujinga kenya wakikuyu,Hate Speech,Neither
uthamaki best without mercy democracyorsecession,Offensive,Neither
vile nyakundi ana hate ruto halafu make worse security yake imeua wakisiidp apologise hashtags zikam,Hate Speech,Neither
post want post tomorrow wondering fake genuine cyber crime bill mpigs set government team verify something genuine fake username_,Offensive,Neither
kikuyus time eat ____________________________ yr cheated time eat grown million intermarry still tell time eat never time eat without good governance resist,Offensive,Neither
afraid listening propaganda one going threaten kikuyus victim corruption like kenyan,Hate Speech,Neither
asshole want luo dead yet dont want touched stupid dog keep arrestgracemurewa,Offensive,Neither
luo truth man carrying alcohol best believe gon part take,Offensive,Neither
hawa wakale wamevaa byker like short sport leave lot desired lol okbye,Offensive,Neither
wakikuyu wamezoea kukata makende wanaume wao sisi tukupeea makende unyonye,Offensive,Neither
kamba lining behind kalonzo sink boreholes alleviate water issuesthe guy done nothing,Offensive,Neither
kalenjins worship wruto road constituency impassablekgs sugar wont last yr wake fuck,Hate Speech,Neither
kalenjins nakuru used rubber stamp kikuyus nothing smile jubilee government,Hate Speech,Neither
kinyamu kirari kiega nasa tumiti marari tunini railapresser githeriman iebcresults iebc,Offensive,Neither
thief monkees accept thief nullifyuhuruelection luolivesmatter electionske,Offensive,Neither
wetangula pretender leader lead bukusu sprinkle leader like onyonka chase atwoli nxt public gathering start nonsense appointing luhya spokesman muthama joke wear sunglass dark,Offensive,Neither
lmao staap username_ kamba momo could ate,Offensive,Neither
basic commodity damn expensive sleepless night coz maize flour blame kiuks kalenjins,Offensive,Neither
hell bent portray kikuyus antagonist rao politricks smh,Offensive,Neither
username_ plus fish labour around kisiis con poor civilized work,Hate Speech,Neither
bitter since kikuyus getting job still jobless,Offensive,Neither
rutoinnyeri development odm manifesto noise making around globe railathetribalchief,Offensive,Neither
uhuru get rid kalenjins urp soiling name mois law say,Hate Speech,Neither
lupita nyongo adongo benjamin ochieng repeat luo tourist kenya,Hate Speech,Neither
kindly kikuyus stop harassing luhya community kawangware luhyas western watching soon might stop else,Hate Speech,Neither
uhuru kenyatta gagged jubilee mp appearing live radio show also stopped responding medium enquiry without prior consultation tanoterror regimeofdoom sio,Offensive,Neither
wajaluo yawa sasa nini inakusumbua life oliech ata akienda mjengo shida youre one foreskin,Neither,Hate Speech
boarded mat naivasha driver tuned kameme oblivious fact passenger kikuyus,Hate Speech,Neither
kikuyus tweet language thinking dont mothertongues toowe stupid mate,Offensive,Neither
foolish lmaort username_ kikuyus named kamau another name disambiguate kamau mbeca cont,Offensive,Neither
kikuyus politically misused community brainwashed tiny elite think exceptional siege,Hate Speech,Neither
celebrating tribal person want kikuyus,Offensive,Neither
username_ pope travel mile away come kenya tell stop corruption corrupt arent ashamed,Offensive,Neither
class dropout shut kikuyus foolsjust like tribesman kikuyu,Hate Speech,Neither
yaani raila talking investor secure investment kenya jubilee saying railabetrayedruto ripjubilee failed govt,Offensive,Neither
luo vilified looked upon local stage always shine global stage proudlykenyan,Offensive,Neither
wakikuyu kujeni hapatukifika pale canaan nyinyi mtaishi garden gethsemoney tuko pamoja mr kimoney,Offensive,Neither
merus ill mannered extremely rude nkt,Hate Speech,Neither
corrupt country world username_ totally agree corruption hand mundukhumundu,Offensive,Neither
yesurtkenotyc kwani migori alipewa makende username_ notice kikuyus voting rao kisumu cant get decent,Hate Speech,Neither
wakikuyu kukwamilia uongozi,Hate Speech,Neither
fact tribe corrupt kikuyus leading take kabura get million loan zero interest,Hate Speech,Neither
welldone kikuyus kalenjins electing president thanks iebc kenya confirmation uhuru notmypresident,Offensive,Neither
handsome boy hindi gay sex story alexander suck chase rock,Offensive,Neither
woman know one person put nyakundi placethat boy realist he bullyif adress issue thats fine learned respectful wayi simply tolerate abuse towards woman,Offensive,Neither
kikuyus kalenjins people luo nonsense wont help get power,Offensive,Neither
luhyas fowl murderer,Hate Speech,Neither
wacha nitetee tribe woman username_ thought twas kamba,Offensive,Neither
kikuyus comment wanting wonder part brain functioning hell,Offensive,Neither
umeanza kukaa mwanaume naona tia bidii nyakundi,Offensive,Neither
kamba winning username_ twitter taught kisiis witch luhyas love tea kamba surprised luo rich,Offensive,Neither
hate passion debate kikuyu luo kalenjins luhyas wtf kenyan,Neither,Hate Speech
luo tribal voted kibaki shakir junet shebesh muache upuus kikuyus tribal argue gok appointment,Hate Speech,Neither
open social scatter truth dont pay anything tym revisit thug username_ crime officer someone without weapon isnt criminal username_,Offensive,Neither
lrt short anamaanisha nyakundi hukula mandazi imepikwa mafuta kondoo,Offensive,Neither
lmao username_ luhyas doomed wetangula leader,Offensive,Neither
moseskuria moment hear pope around locked somwhere dy ask god whatmagufuliwouldhavedone,Hate Speech,Neither
youre right kikuyus ethnical people time muduwanyuba slogan,Hate Speech,Neither
kalenjins potato put sack moi tell ruto,Offensive,Neither
hear nyakundi saying clear passion come sense frustration helplessness world injustice adopted perpetrator accept norm victim nolonger expect truthfacts mainstream medium,Offensive,Neither
kamba minority gatanga slot kamba police recruitment valid username_,Offensive,Neither
yall keep mentioning nyakundi guy reading article simplest solution ignore block report repeat till he suspended,Offensive,Neither
yet one suspect username_ biggest victim pevthe kikuyus one icc process,Hate Speech,Neither
alse hate ruto luo,Offensive,Neither
exact photocopy nyakundi nyakundiisacriminal,Offensive,Neither
username_ kamba grrrrrr shall kill,Hate Speech,Neither
username_ wanao sound hao masai balaa,Offensive,Neither
luhyas come number vote jubilee talking luhyas still jubilee moses kuria akuongea poa,Offensive,Neither
welli got as got handed pictwittercomiwksiiyoc,Offensive,Neither
kikuyus kalenjins back kikuyus kalenjins chanting,Offensive,Neither
havent heard wembeniuleule walijinyoa kwanza intend shave others rogue barber eye blinded hair,Offensive,Neither
kamba lightskin ugly lady username_ kamba,Hate Speech,Neither
gullible username_ username_ think orchestrated noreformsnoelections nonsense wakoranetwork pictwittercompjbzxyfdv,Neither,Offensive
uhuru must got english coz hear say security start one tell security start uhurueurothieves,Offensive,Neither
username_ fuckin lyin wtf kamba midget gtfoh,Hate Speech,Offensive
rich ugly woman,Offensive,Neither
kikuyus teaching community better farming thru utugi starving kamba leader like kalonzo nyenze preaching ethnic hate,Offensive,Neither
advocating constitutional change provide job specific regional political leader read armenia velvet revolution kenya might,Offensive,Neither
idea rutos presidency would mean fellow kikuyus rift blinded hate raila cant see shit,Neither,Offensive
kikuyu care arent one happy government firm nonsense sends militia kill babypendo cold blood support every fake narrative government give kid protestor kikuyus dont care,Hate Speech,Neither
kikuyus kenya behavin like white usa wanadharau black,Offensive,Neither
fuck chase nigga even chase liquor,Offensive,Neither
well stone come back luo fool midiwo orengo warn uhuru,Hate Speech,Neither
shame magotonly nyakundi buy rubbishmbwa wewe,Offensive,Neither
hopeless luhyas visionary thought former speaker marende man substance sank low,Offensive,Neither
hawa wamama wazungu wana shida nyingi sana,Neither,Hate Speech
today kwa stage guy btw hawa madem wahindi hujiskia sukari ndio ata hawananga haga guy cont,Offensive,Neither
kikuyus kalenjins luo major tribe causing problem kenya,Offensive,Neither
true wealth owned kikuyus either stolen illuminate railathewardogsince stopuhuruwardogs,Hate Speech,Neither
uhuruliciotic kenyattaism form leardership kikuyus conform confirm documented proof,Offensive,Neither
famous garisa eastleigh look like yet popular eastleigh broker username_ busy telling sonko increased revenue collection shenzi sana pictwittercomkgmqyererd,Offensive,Neither
shall millionstrong trudge iebc office eject chiloba bunko noreformsnoelections,Offensive,Neither
exactly defines hatespeech username_ dump school,Offensive,Neither
kalenjins dumping uhuru jubilee party silent majority joined nasa,Offensive,Neither
dont know kikuyus known thief east africa uhuru kenyatta street urchin,Hate Speech,Neither
arrested treason nyakundi sitting president know boy child defender,Offensive,Neither
advice let sleeping dog lie nyakundi league freenyakundikins,Offensive,Neither
waaa username_ got fun rather kikuyus personal,Offensive,Neither
shambolic election recipe violence noreformsnoelections,Offensive,Neither
kikuyus rule kenya long smarter sorry truth hurt,Hate Speech,Neither
ugly war see kenya started joke two fellow idp kikuyus see refugee camp cheering,Offensive,Neither
siku kama leo tcra mnatakiwa kufunga ofisi hawa waarabu referee wao sio kabisa,Hate Speech,Neither
would chase nigga dont even chase liquor,Offensive,Neither
kisii name like mende nyangau nyangeti nyanchera nyakundi,Offensive,Neither
kikuyus mentally sick evil lot power escape know awaits hata chad watahamia,Offensive,Neither
united kikuyus kalenjins kenyan salivating pooh,Hate Speech,Neither
youre another one blinded uthamaki,Neither,Offensive
one campaigning sahi kwao wakenya wanauliwa wajaluo,Hate Speech,Neither
fuck president cant detain luo hate swear god forbid freewadi,Hate Speech,Offensive
fool username_ shut know whose bidding theyre morphoexposed noreformsnoelections pictwittercomonilonbys,Offensive,Neither
loud mouthed username_ eurobond must embarrassed eurobondgrandtheft uhurueurothieves,Offensive,Neither
kamba never vulgar footprint nyanza,Offensive,Neither
uhuru iebc seeking strike volume evidence technicality full replay democracyorsecession,Offensive,Neither
hate bastard portrays open hatred central kenya people nasaflagbearer fagiawote,Hate Speech,Neither
cant referee wear opponent jersey,Offensive,Neither
circimcised part brain dont worknakuru kikuyus proven,Hate Speech,Neither
wonder na planned album announced kanye back promoting hatespeech middle quasi spiritual tweet rant,Offensive,Neither
kenyan deserve right life whoever killed ripmsando paraded public stoned death well pay evil evil,Offensive,Neither
message mudavadi sending say clinch election coz luhyas highest registered voter tribalist much,Hate Speech,Neither
ever want vie highest office would vie jubilee party cause supporter fool username_,Offensive,Neither
still tribal politics remember many luhyias kisiis luo kiambu especially luhyias,Hate Speech,Neither
wonder username_ hearing maasai tribe africa gave cow america consolation,Offensive,Neither
think anything different chebukati team confused electionsboycottke,Offensive,Neither
wajaluo huku kitui wengi kazi yao taxi,Hate Speech,Neither
yes maasai eat red meat fine remember walk mile day eat red meat take bodaboda toilet goodluck,Offensive,Neither
elected thug position governer username_ fellow thug appointed deputy governer motion confidence raised fellow nrb mca rooter sonko atamaliza term yake bile stress elite requested city manager,Offensive,Neither
sick tribal backward bro apology,Offensive,Neither
kiuks suffered kenya independence others joyridingits tym others chip inwe shall enjoy mkiwin luolivesmatter,Offensive,Neither
waluya hawa wameharibu day,Hate Speech,Neither
left wondering people certain area kenya obsessed genitals circumcision unable sustain family kihii business live worst poverty yet kihii time proud kamba cut doesnt make better,Offensive,Neither
upuuuuuzi ask list one tribedoes mean tribe men busy bestbull fighting episode nyanza leader trying hard spread hate kenyan love luo good people,Offensive,Neither
massacre happens medium house good aportioning blame seed hate sowed ethnichateinkenya,Offensive,Neither
wapumbavu wenye hawaoni wakiingizwa kwa shimo nusu mkate hakuna wembeniuleule,Offensive,Neither
know pple olengo raira malanga mwiru renaora jubilee looking dont know noreformsnoelections uhurulastkicks,Offensive,Neither
luhyas watchman cook rudi kazini unaitajikawe need eatleave first asking leave,Hate Speech,Neither
unlike jubilee stolen public fund bribe voter iebc power chebukatimemotochiloba railapresser iebccrisis nasa,Offensive,Neither
called brother atwoli guka musakulu atwoli whats difference kagame museven wenger mugabe supposed retire home leave job son,Offensive,Neither
tribe low self esteem got show weak inside make feel superior kikuyus,Hate Speech,Neither
unless kisumu idiot otherwise cant kikuyus,Offensive,Neither
kikuyus club kisumu must making superprofits today knowing well come november wembeniuleule supremecourtdecides,Offensive,Neither
wajaluo hupeleka ujaluo kila mahali lol quarantine,Hate Speech,Offensive
head kikuyus,Hate Speech,Neither
username_ username_ kalenjins either stupid moron tgats always undisputed lurking community,Hate Speech,Neither
cant kikuyus sing meru song assimilation ama equalswacha kutupima,Hate Speech,Neither
leader taking back dark day power empowered kikuyus kalenjins tribe ony,Hate Speech,Neither
kikuyus guy think tribal intolerant think box day understand,Offensive,Neither
luo poor username_ wont find trapped saudia arabia like bringbackkenyangirls,Offensive,Neither
still waiting ekuru say wembeniuleule given million,Offensive,Neither
need educate relative village dont need tribe order vote wisely tribalism,Offensive,Neither
hakutakuwa uchaguzi hata kwa dawa hatupendi ujinga noreformsnoelections,Offensive,Neither
stop saying english start useing google translate try one fuck offpeople xizang say fuck long fucking cultist,Neither,Offensive
asking raila odm speak aladwas remark yet uve never askd uhuru tna deny kurias remarksbullshit lordsofhate,Offensive,Neither
idiot witch talk peace fucker ripmsando,Offensive,Neither
luhyas arrangement wewe let kamba keep fighting,Offensive,Neither
luhyas doomed wetangula leader,Offensive,Neither
good hope arrested moseskuria,Offensive,Neither
guy burning killing kikuyus kawangware nasa even chanting nasa,Offensive,Neither
wats kikuyus buying motorcycle,Offensive,Neither
wee kihii sana username_ kenya video vixen tear,Offensive,Neither
luo feel pride ego big enough say baba take seat watch politics terrace,Hate Speech,Neither
ukiwahi pikiwa ugali mtu anajua anafanya nini hutawahi kula hii uji hunny wakikuyu hupika walai,Neither,Offensive
going tweet username_ see obsessed username_ drag luo,Offensive,Neither
ukabila tuliwachathe guy shit username_ luo central nyanza one celebrating kideros misery,Offensive,Neither
wen win marathon kenyan hague kalenjins,Hate Speech,Neither
upuus username_ think kikuyu girl best luhyas kamba problem,Offensive,Neither
luhyas learned mudavadi ready ababu fail,Offensive,Neither
wakikuyu mtatuonyesha mambo,Hate Speech,Neither
get twitter see foolish blogger trying get paid popularising railathetribalchief pictwittercomlhjoxvocw,Offensive,Neither
kikuyus muthoni polite quiet get pregnant lot wanjiku beautiful wangare,Offensive,Neither
tomorrow elect kenyatta stay home erect masturbate want wembeniuleule,Offensive,Neither
hawa wazungu wakati mwingine kuwaelewa rahisihuyu mdada amekuja furaha kuuuubwa katukusanya kututangazia kuwa ana mimba,Neither,Offensive
driving country dog noreformsnoelections,Offensive,Neither
ushawai jua maasai favored sana hapa kenya masaai anaruhusiwa kuuza dawa bila lincense mkikuyu ukijaribu,Hate Speech,Neither
wakwende fagiawote,Offensive,Neither
see coconut trending uhurus birthday dont need ask electionsboycottke,Offensive,Neither
kikuyus everywhere nigerian con artist lol stereotype,Hate Speech,Neither
luo targeted yet tribe make people arrest lock kondele githunguri kiambu stronghold see fire,Offensive,Neither
wheres username_ pundaamechoka bill ama ilkuwa panganga kenyan cant take anymore budgetke budgetke,Offensive,Neither
yes west interested oil turkana jubilee tolerant corruption offer wish raila reformer,Offensive,Neither
man think merus annoying mammal ever walk earth,Hate Speech,Neither
kikuyus tribal,Offensive,Neither
raila odinga coined mantra alienate kikuyus tribe month leading december election much uniting kenyan railaliesexposed,Offensive,Neither
leader bad neighbor bad family worse disown tribe difference leadership tribe username_ disown tribe politically affected absurd kikuyus support username_,Offensive,Neither
username_ amepea shout watu alego kisumu wajaluo sasa hawatashikika kwani iko nini bwanaaa obama jaluo yawa,Hate Speech,Neither
kikuyus still produce certificate good conduct going tanzania maghufuli still burn chicken museveni still arrest kenyan fisherman thought know,Offensive,Neither
utaona mkikuyu masikini mwisho atajileta hapa aseme watu wao wanamalizwamungu akilaani uhurueurothieves,Offensive,Neither
tech wizard kamba never known,Hate Speech,Neither
uhuru government alienating pitting kikuyus rest kenyan noted stay business nyanza coast western rest kenya people turn uthamaki one day stopethniccleansing resist,Hate Speech,Neither
shame kikuyus kalenjinscant see open eye,Offensive,Neither
murkomen realized mheshimiwa antony work colgate ran away username_ username_ username_ username_ electionsboycottke,Offensive,Neither
twitte sound like really hate group youre calling luo personal hate belong another group supposing youre given special power kill kill hahahaplz learn coexist,Offensive,Neither
people asking raila odinga retire shut thag quite shut calling name kwani yeye ndiye alisema tanotena wembeniuleule punguzabeiyamafuta,Neither,Offensive
look old old username_ shit dont much time alive,Offensive,Neither
clear message tribe kikuyus good associate,Hate Speech,Neither
sure duale calling mpigs join rebattle press conference uhuruto talk next week gone railapresser,Offensive,Neither
kill kikuyus shun tribalism start cant wait killed,Hate Speech,Neither
wewe nawe unabwekabweka huna maana hiyo akili yako indigo inawezaelewana mafahali wakenya noreformsnoelections,Offensive,Neither
say kikuyus backstabbers usually judge kikuyu youselfish motherfucker,Hate Speech,Neither
nothing,Offensive,Neither
always asked raila odinga pas moi kibaki uhuru baba enigma ripmsando,Offensive,Neither
ukabila username_ lakini wakisii wengine wanaonanga kama watu wote wajinga kama hao,Hate Speech,Offensive
yall need stop calling raila odingas supporter thug marching picketing protesting kenya constitution give right thug ruto supporter burned kikuyus church thug uhuru supporter killed luo naivasha,Offensive,Neither
kikuyus twitter cant even sneeze without called mungiki,Offensive,Neither
wewe unajua karamajong sijui unaniambia nini hapa wale wajaluo wameparara hadi elbow magoti sura kama kim jong korea,Hate Speech,Neither
clown new thread,Offensive,Neither
nepali police stupid fucker,Offensive,Neither
vroom username___ username_ surprised typical luo tweeting engluo dialect,Offensive,Neither
kikuyus esp outside central kenya pay ultimate price username_ murdered jubilee railareturns,Hate Speech,Neither
know kalenjins poor luo thats dying hunger,Hate Speech,Offensive
else seen tonight jkl moderated farah maalim look act soberer host mundukhumundu,Offensive,Neither
moses kuria questioned msandos death ripmsando,Hate Speech,Neither
kikuyus kalenjins yapping abusing leader know kikuyu kalenjin died result two previous election immortal love two community tafakari hayo,Hate Speech,Neither
uhuru preaches unity day yet would nothing stir tribal emotion norailanopeace,Offensive,Neither
whew guy block slew hate monger tonight made mistake pointing nongrammatical gibberish hate hatespeech,Offensive,Neither
team nrm launched boycott kikuyus loot safaricom bidco company brookside company,Hate Speech,Neither
government day liable well spreading fake report,Offensive,Neither
funny dialect finally proved kisiis merus corruptbuana,Hate Speech,Neither
uhurus govnt predator another opportunity kill luo miguna miguna fuss kisumu part across kenya dude celebrating handshake somewhere far amekimya sana pictwittercomredvwms,Offensive,Neither
silly called nyakundi get life nigga insult governor revisit,Offensive,Neither
believing issue spewing hatespeech two totally different thing perhaps watch real news station see real news anchor journalist etc speak issue fox mouthpiece vileness trump politics decency,Offensive,Neither
jubilee govt casual dishonesty cruelty betrayal emptiness real ambition destroyed leader,Offensive,Neither
insanehave seen luo receiving relief food muranga luo land water tower good nile serf way egypt also affected youre thinking luo akili yako ilirogwa nani,Offensive,Neither
kikuyus selfish support raila odinga tell ruto indirectly,Offensive,Neither
username_ luo need wake reality leader like anyang useless puppet ridding railas back kick,Hate Speech,Neither
ill say luo primitive specimen existing earth eeeew,Hate Speech,Neither
different celebrated killing electionsbut good thing people support justice without caring much tribal cocoonjust kiuk doesnt mean kikuyus celebrated death election,Offensive,Neither
performed mock swearing orengo miguna kajwang luo nationalizing luo affair isnt tribal,Neither,Hate Speech
serving tribal interest also politicali passed near knut hq along mfangano stwhen demostrating noted kikuyus,Offensive,Neither
kikuyus never desolation economically rather hardworking dont depend witchcraft handout,Offensive,Neither
luhyas complain govt employing one overqualified xpect govt employ like profdrdr moni wekesa,Offensive,Neither
offering username_ username_ free interested nation wonder went school stopuhuruswardogs,Offensive,Neither
wajaluo wangapi huuliwa huku nairobi dandora kariobangi kuchomwa,Neither,Offensive
kwskenya maasai wats different dealing mohawk infact masaais react wen livestock attacked,Offensive,Neither
stupid idiot started hashtag norailanopeace,Neither,Offensive
thz somali warudi kwao wanasaidiwa dnt appreciate stressing bro,Hate Speech,Neither
wrong moseskuria hate speech tolerated anywhere worldwhat irritates,Offensive,Neither
part disease away hatespeech,Offensive,Neither
care tribe shame kikuyus learned idiot,Neither,Hate Speech
three luminary cord bastardised politically cant upset jubilee duo mundukhumundu,Offensive,Neither
yall must give username_ break username_ worse despot corrupt ruto ruto must become kenya president winniemandelafuneral ifikiewazazi switchoffkplc tanoterror resist corruptionke jkl ntvtonight,Hate Speech,Neither
luo nothing ear reason hawatawahi tawala hii nchi sperm wastage mtu aki,Hate Speech,Neither
uhuru claim chosen fight man god maraga uhuruaftercjmaraga uhurumustresign noreformsnoelections,Offensive,Neither
biasedthese guy make one believe kikuyus hatedkikuyus hate luo luhyas measure jkl,Hate Speech,Neither
luo hallucinatorslol hapo ukweli sana username_ username_ churchillshow username_,Offensive,Neither
uhurus arrogance tell election need landslide norailanopeace,Offensive,Neither
luo bussy burning townsyou say ukambani corded seen burn masaku username_ username_ arrestkimaningunjiri,Offensive,Neither
studentsriot babuowino moseskuria flash middle finger distracted connectthedots openyoureyes,Offensive,Neither
akombe resigns mole steal ally noreformsnoelections,Offensive,Neither
tweet language people understand hatemonger concentrate removing jigger constituent let others,Offensive,Neither
advice username_ fellow ready waste another billion noreformsnoelections nasademosweek,Offensive,Neither
luo nandis fighting name cattle rustling excuse,Hate Speech,Neither
gov ban nasa supporter picking leader kibaki uhuru supporter pick thnk lesser kenyan looting police provoked police storm house kill called kikuyus suppprt,Hate Speech,Neither
cone strongly journalist nyanza attacked harassed police luolivesmatter,Offensive,Neither
say sheepjubilee zombie like ripchrismsando ripbabypendo luolivesmatter,Offensive,Neither
message bishop wanjiru sending church member kikuyus also leave jiam username_,Hate Speech,Neither
ukiacha ego chest thumping utoto much hate luo never try rewrite kenyan independence history father nothing without jaramogi odinga infact history kenya real maumau known traitor known,Neither,Offensive
iebc official hardest task world murderer hand dissapear ripmsando,Offensive,Neither
luo kamba always accusing kikuyus selfish yet raila odinga always appoints kith kin,Hate Speech,Neither
william ruto incited kalenjins kill kikuyus,Offensive,Hate Speech
fuck barcelona real madrid fan barcelona fan masai dick rider real madrid fan horney teenage girl ronaldo,Offensive,Neither
watu wengine wanakuaga nakelele sana mkubali kwenda hague hawa wazungu wako serious joh,Neither,Offensive
arrogant kikuyus kalenjins happy field day making life impossible rest others love time youll one day receiving end sure youll able even fart,Offensive,Neither
know username_ breached article constitution depositing eurobond proceeds full consolidated fund,Offensive,Neither
kikuyus wondering pizza soup blameitonthepresident,Offensive,Neither
wajaluo ujinga nayo kiberanani mjinga sasa,Hate Speech,Offensive
wed rather die foot live knee death brother shall free luolivesmatter,Offensive,Neither
luhyas really confusing everbody matiba still alive mourning madiba,Neither,Offensive
make smile commentating nagative kikuyus puga,Hate Speech,Neither
uhuru never election time round constitution adhered someone lose wembeniuleule,Offensive,Neither
sirikali magufulidictator imepagawa madikteta wenzake wako wapi wengi wameuliwa kutekwa kufukuzwa mateso wanayowapea watz yako mwisho kiongozi hasidi mjinga mpumbafu kama huyu mwisho wake uko karibuhatuogopi tenatutaongea tutaandamana pende asipende pundaamechoka,Offensive,Neither
luo dont tribe people eye brain luo never get power lie vote,Offensive,Neither
username_ doubt kiu kihii kingi,Offensive,Neither
wetangula county eyeing piece another citing historical injustice masai aggrieved accepted boundary,Hate Speech,Neither
kalenjins corrupt know fundraising political agenda username_ ask foot soldier restraint,Hate Speech,Neither
luo community bewitched cursed luo christian fellow luo worshipping raila god antiiebcdemos pictwittercomorecumzvov,Offensive,Neither
usikuwe mjinga tafadhali kaa huko username_ luo violent,Offensive,Neither
need one goal hawa watu warudi kwao,Offensive,Neither
wengine kesho twaja kkoo hawa wahindi hawajui hata pasaka kudeki,Hate Speech,Neither
wrote username_ replying username_ dear mutahi ngunyi one fine cold morning reality change come direct doorstep kikuyus far far kenyan presidency quiet long time make age fast however old,Offensive,Neither
wanatry swag nasarites wamefail like crazy noreformsnoelections wakoranetwork,Offensive,Neither
craycray agree someone need claim behalf luo luhyas kisiis refuse,Offensive,Neither
know stoopid one ideally stoop low need nyakundi convenienceget sorry as something else,Offensive,Neither
insist noreformsnoelections man username_ entire username_ need sent packing pictwittercomsdiofxnxg,Offensive,Neither
luhyas liberated tribe kenya make accessible pussy power hungry leader embrace tribalism like kikuyus kale luo unity granted unto,Offensive,Neither
according username_ tribe except kikuyu kalenjins spectator ion jubileethey dont take part real chemical reaction,Offensive,Neither
yal nasa supporter deluded hopefully thats clueless appear whenever act optimistic arsenal winning ucl,Offensive,Neither
luo must know stop thinking demo kikuyus hardware one harbouring mungiki,Hate Speech,Neither
lmao username_ shocked realize muslim woman see around jamia mosque begging kikuyus smh,Hate Speech,Neither
told maasais dont eat game meat three maasai warrior battle fifteen lion meal,Offensive,Neither
comment post wonder nation guy living noreformsnoelections,Offensive,Neither
wait lusaka say vote uhuru electionsboycottke,Neither,Offensive
kiprop steve profndungu cbk drkarangi kdf replaced kikuyus quite sensitive,Hate Speech,Neither
keep calm yall talkin shit well see dont forget masai got rid rudy turned team playoff contender,Offensive,Neither
uhuru wacha maraga akae mungu wake mimi nikae watu wangu mdvd sasa wacha wakenya watoe watu wake iebc noreformsnoelections,Offensive,Neither
luhyas democratic people kenya never vote block hold water luhyasditchrao,Offensive,Neither
kikuyus though archaic cling power matter cost,Offensive,Neither
kikuyus kalenjins want rule forever raila reveals uhuru ruto,Offensive,Neither
booked kalonzo flower girl wedding day tusibishane mtu hapa kalonzotheflowergirlprincipal railapresser,Offensive,Neither
